,address,comment_num,detail,detail_url,image_num,indoor_floor,lat,lng,name,overall_rating,price,street_id,tag,telephone,type,uid
0,南亭公路5033号附近,3,1,http://api.map.baidu.com/place/detail?uid=f175acda206b661e9222e082&output=html&source=placeapi_v2,4,,30.900541529843,121.3648780867,亭林站,4.7,,f175acda206b661e9222e082,交通设施;火车站,,life,f175acda206b661e9222e082
0,静安区秣陵路303号,1015,1,http://api.map.baidu.com/place/detail?uid=5fd644188840626b102935ba&output=html&source=placeapi_v2,1403,,31.253706362106,121.46116057329,上海站,3.7,,5fd644188840626b102935ba,交通设施;火车站,,life,5fd644188840626b102935ba
0,上海市闸北区寿阳路1500号或共和新路3501号,,1,http://api.map.baidu.com/place/detail?uid=3f826ed3a88e6f5fd1f49e04&output=html&source=placeapi_v2,4,,31.306702190798,121.46236643705,北郊站,,,3f826ed3a88e6f5fd1f49e04,交通设施;火车站,,life,3f826ed3a88e6f5fd1f49e04
0,上海市松江区,,1,http://api.map.baidu.com/place/detail?uid=615aeaa3d5079f1682288ab7&output=html&source=placeapi_v2,1,,31.120713,121.292953,河宇交通设施,,,,交通设施,,life,615aeaa3d5079f1682288ab7
0,上海市闵行区星中路24楼105号,,1,http://api.map.baidu.com/place/detail?uid=cd050e3fb45cf23f5bf6be37&output=html&source=placeapi_v2,2,,31.153917,121.381016,扬达交通设施,0,,cd050e3fb45cf23f5bf6be37,交通设施,,life,cd050e3fb45cf23f5bf6be37
0,上海市松江区沪松公路2511弄-806号,,1,http://api.map.baidu.com/place/detail?uid=846eb7acf862137c17764357&output=html&source=placeapi_v2,1,,31.120664,121.293196,金贯交通设施,,,,交通设施,,life,846eb7acf862137c17764357
0,周家嘴路4041号5号楼,,1,http://api.map.baidu.com/place/detail?uid=08d77b5aaa3273d340ab9ab9&output=html&source=placeapi_v2,10,,31.290912,121.555275,杨浦站,,,08d77b5aaa3273d340ab9ab9,交通设施;火车站,,life,08d77b5aaa3273d340ab9ab9
0,上海市嘉定区安亭镇塔山北路1号 ,1,1,http://api.map.baidu.com/place/detail?uid=75a86031a7b7e90172455bed&output=html&source=placeapi_v2,2,,31.311158,121.184836,安亭站,5,,75a86031a7b7e90172455bed,交通设施;火车站,,life,75a86031a7b7e90172455bed
0,上海市嘉定区方德路284-286号,,1,http://api.map.baidu.com/place/detail?uid=50d4398962ab388ea2a93401&output=html&source=placeapi_v2,1,,31.319023,121.238342,上海良镯交通设施,0,,50d4398962ab388ea2a93401,交通设施,,life,50d4398962ab388ea2a93401
0,null,,1,http://api.map.baidu.com/place/detail?uid=72e2d63b2c52cb68725e80a4&output=html&source=placeapi_v2,1,,31.32511,121.2828,马陆站,,,72e2d63b2c52cb68725e80a4,交通设施;地铁站,,life,72e2d63b2c52cb68725e80a4
0,上海市松江区人民南路1号,31,1,http://api.map.baidu.com/place/detail?uid=a1ac0802714af383fa42b293&output=html&source=placeapi_v2,10,,31.006113332522,121.235079782,松江站,3.5,,a1ac0802714af383fa42b293,交通设施;火车站,(021)57729327,life,a1ac0802714af383fa42b293
0,null,,1,http://api.map.baidu.com/place/detail?uid=e71f2cb907a122f309a8d40d&output=html&source=placeapi_v2,1,,31.383832232471,121.2345587145,嘉定西站,,,e71f2cb907a122f309a8d40d,交通设施;地铁站,,life,e71f2cb907a122f309a8d40d
