user_id	nickname	sex	age	education_level	constellation	waist_circumference	height	body_type	colour	income	brand	married	pregnant_inhouse	child	child_age	child_sex	car	house	purchase_group	active_level	purchase_type	evaluate_concern	sale_sensitive	purchase_potential	purchase_loyalty	purchase_ability	purchase_credit	food	hotel	tourist	entertainment	first_traffic	second_traffic	
1	xD5Cov8G	0	68	5	6	68	195	3	3	34438	3	0	1	1	9	0	0	0	10	6	1	1	10	1	7	7	8	1110101	100	1000111010	1110110100	4	5	
2	J79X2g6p	1	3	5	4	40	183	3	8	34129	6	1	1	0	5	1	0	0	5	9	4	8	4	2	10	9	9	1010110	011	1011101011	1111001001	2	6	
3	fhzo6QLP	0	65	3	12	75	153	1	1	50362	3	0	0	0	18	0	0	0	2	6	1	1	9	6	4	2	8	0101010	000	0100000000	0011000101	5	5	
4	s24oWlx6	1	30	2	4	14	162	2	10	5655	3	0	1	0	1	0	0	0	1	5	7	9	6	5	3	2	2	0001010	111	0011011101	1011010011	1	3	
5	68AnMsm5	0	10	4	5	68	198	1	3	80283	10	0	1	1	11	1	0	0	10	7	10	7	7	6	8	10	1	1000110	010	0111000011	0000000111	1	5	
6	mU5BXDnA	0	5	3	10	35	145	2	7	1417	1	1	0	0	23	1	0	1	9	3	5	3	9	6	4	7	5	1101001	001	1010010111	1101001110	1	5	
7	zbcdYsw1	1	42	4	3	43	185	3	3	65234	8	1	0	1	15	1	1	0	3	5	5	3	9	5	6	2	4	1100011	100	0100011010	0110111011	6	5	
8	aGHFuTNQ	1	64	4	6	39	190	3	10	99532	5	1	1	0	37	1	1	0	7	1	1	7	4	2	2	6	10	0001011	100	1000100000	0001111000	4	2	
9	p9ZRdi2Q	0	3	2	6	14	200	3	5	65170	8	1	1	0	48	0	0	0	10	2	4	10	1	7	9	5	7	1011001	010	1011111010	1101001110	3	4	
10	K1G5JvnD	1	71	1	7	24	197	2	10	14567	10	0	1	0	6	0	0	0	9	3	9	1	8	10	9	7	2	0011110	011	1100100111	1111011001	5	3	
11	HGkOXwAL	1	25	2	5	34	200	3	3	25926	4	1	0	1	34	1	1	1	1	4	8	6	4	5	2	7	3	1011110	000	1010111011	1010010001	1	6	
12	8PmRAoSq	0	25	1	8	76	171	3	10	89305	9	1	1	1	15	1	1	0	6	5	10	4	7	2	7	2	5	0000011	111	0011110000	0101101001	6	3	
13	9x2Hdw8i	1	25	3	4	15	159	2	3	38798	3	0	0	1	38	0	1	0	9	2	6	1	7	7	5	5	5	0100010	111	1011110000	1111100011	3	2	
14	qMzmwcZX	0	57	1	4	69	162	2	10	31038	1	0	1	1	6	0	1	1	5	1	6	1	9	2	3	1	10	1001111	011	0110011110	0100001000	5	1	
15	72ILAjkZ	1	39	5	10	44	156	2	6	4681	2	1	0	0	15	0	1	1	10	6	4	8	1	8	2	10	1	0100010	111	0010111011	1011010110	1	1	
16	o0ROzJiU	0	26	3	11	43	184	2	9	89919	8	0	1	0	19	0	1	0	3	3	1	8	3	8	6	7	7	0000101	011	0110001101	1100111101	5	4	
17	sLcu2YtO	1	4	3	11	71	179	3	7	67888	10	1	1	1	7	0	0	1	3	9	3	5	4	9	4	10	7	0010000	001	0001011011	0000000101	3	6	
18	SdE0sjOh	1	10	2	4	13	157	3	6	93762	7	1	0	0	48	0	0	1	9	10	3	4	7	3	9	4	9	1101011	010	0100000001	1011110111	3	1	
19	QuGS712V	1	63	1	3	31	197	1	7	21285	10	1	0	1	34	0	1	1	6	5	3	4	4	1	10	6	9	0100000	011	1001000110	1010011110	5	2	
20	nya92P6z	1	45	5	5	11	149	2	1	15472	5	1	0	1	27	1	1	1	2	5	8	3	5	5	10	10	3	1000101	010	1110010001	0101100011	6	4	
21	OvU8xbk1	1	47	2	10	12	194	2	8	47560	1	0	1	0	47	0	0	1	6	3	3	4	10	9	1	5	3	1110110	011	0000000011	0111000110	3	6	
22	FMIjHOW0	1	61	3	7	50	186	3	9	49108	7	1	1	1	10	0	1	0	2	8	10	1	7	3	2	4	9	1001011	000	1111111111	1100110100	5	2	
23	gCkV0ELJ	1	55	1	5	65	182	3	2	64112	7	1	0	0	10	1	0	1	7	1	6	10	1	10	5	6	7	1001011	001	0111000101	1110001000	3	2	
24	xUv3QRuG	1	25	4	2	27	142	2	7	48980	10	0	0	0	21	0	1	0	9	6	1	7	5	6	10	7	9	0011001	011	0001101110	1111000000	4	3	
25	HiJXv1By	0	39	4	4	52	148	1	10	31490	9	1	1	0	47	1	1	1	10	10	5	2	7	9	10	1	1	1101011	110	0100101111	1000100101	6	5	
26	OUX3FNuq	1	27	5	7	11	144	1	9	10563	3	1	0	0	49	1	0	1	2	5	4	2	8	8	8	6	10	0010101	111	1000000110	1011101101	1	6	
27	WACKbOzv	1	57	1	5	20	177	1	5	83784	9	1	1	0	18	0	0	1	9	6	1	5	10	1	10	6	10	1100001	010	0001111110	1000111000	6	4	
28	ygNihJPk	1	24	5	5	44	169	3	2	88116	9	0	1	0	15	0	0	0	7	4	2	6	9	10	1	8	1	0110000	001	1011000011	1011111001	5	3	
29	Udg3OPRk	1	72	5	2	23	182	3	2	98212	9	1	1	0	21	1	1	0	7	2	3	3	7	1	6	10	6	1011001	011	0010110111	0010000100	6	1	
30	TKhiYcaB	1	42	1	7	28	167	2	8	86488	1	0	0	1	33	0	1	1	9	2	8	7	4	6	6	9	5	0011111	110	1110111010	0010100100	6	2	
31	3pOcSeUC	0	1	3	9	55	170	2	8	85461	8	0	0	0	30	1	1	1	9	5	6	8	4	5	5	7	5	0101100	110	1000001011	1101010111	1	3	
32	ZQUIDJni	1	35	2	7	40	174	1	5	6729	6	1	0	1	5	1	1	0	8	2	8	9	9	7	3	5	6	1011110	010	0001110001	0001101100	6	2	
33	4drySuJI	0	41	3	8	25	170	3	2	75498	4	0	1	0	4	1	1	1	7	8	6	2	8	7	6	8	7	0100110	011	0001010010	0001001110	2	5	
34	ugfyjM6z	1	29	1	5	25	167	1	5	51630	2	1	0	0	38	1	1	1	5	6	7	2	5	8	2	10	7	0001110	110	0100101110	0001100000	1	6	
35	YaKjZch6	1	78	3	8	69	166	2	7	70110	6	1	0	0	41	0	1	0	8	9	5	4	3	3	5	1	3	0010110	110	1100000100	0010011100	2	6	
36	O3Ja41EF	1	26	4	6	70	166	3	5	12877	2	0	1	1	21	1	1	0	9	5	4	4	2	6	1	5	7	0110100	011	0010110111	0011110111	1	4	
37	IRrOHAnh	0	73	3	4	48	178	3	5	87986	2	1	0	1	30	0	1	1	7	3	7	7	7	7	5	10	7	1000010	100	1010100101	1011001100	3	4	
38	PRzUHnw6	1	61	4	3	68	166	1	8	74578	7	0	1	0	19	0	1	1	2	6	1	3	1	6	10	8	9	1000010	100	1000000110	0010101001	5	1	
39	5HOxfnrE	0	78	3	12	48	162	1	5	80675	10	1	0	0	49	0	1	0	5	2	5	4	6	3	9	6	6	0111111	110	0000000001	1101111110	6	5	
40	g3MvzwJn	0	30	3	11	35	164	3	2	33617	7	1	0	1	31	1	0	1	9	1	2	5	5	3	1	4	8	1111111	101	1100111000	1001000110	3	6	
41	wTWti8fj	1	71	4	7	78	196	2	5	89817	3	1	1	0	24	1	0	1	8	10	5	9	9	6	1	5	5	0111011	010	1010101101	0011000010	3	3	
42	3gGMfWTy	1	27	1	5	29	200	3	10	7861	4	1	0	1	33	1	0	0	6	2	7	10	2	4	2	7	9	0110101	101	0110100111	1010010111	6	1	
43	rgSLkcAm	1	16	2	12	61	157	2	8	44529	8	1	0	1	47	1	0	1	3	6	10	2	5	5	1	5	10	1011110	110	0001011110	0001010010	6	6	
44	Ya6RX13V	0	32	3	7	59	192	2	10	36078	4	0	0	1	41	0	1	1	8	10	4	2	3	5	6	10	1	0101001	100	0011111001	0001010110	4	3	
45	KExbRADs	0	29	1	1	61	142	3	5	99002	10	0	1	0	18	1	1	1	4	3	3	2	8	5	9	5	9	1100000	000	1001010011	0000001110	4	6	
46	JajcXxzf	0	28	2	5	21	163	2	4	45020	10	1	0	1	28	1	0	0	6	6	9	7	6	10	5	8	7	1001100	011	1101100111	0110111011	6	2	
47	PW35rv7i	1	72	4	5	60	147	3	6	73346	8	1	1	0	5	0	0	1	1	1	4	9	4	10	1	6	3	1101010	111	0110101101	0110101101	1	2	
48	B9K7CYE4	0	67	3	5	41	176	1	1	99037	2	0	0	0	32	1	0	1	6	10	6	1	3	1	9	8	7	1010000	010	0100010011	0001001101	3	6	
49	aYFR5tij	0	12	4	5	18	148	2	10	50208	7	1	0	0	18	0	1	0	6	7	3	4	9	2	5	1	1	0110010	110	1001011001	1000110111	2	4	
50	wS0rukyt	0	73	5	3	50	171	3	1	28655	6	1	1	1	32	1	1	1	5	4	4	6	3	8	7	5	4	0110001	001	1000100010	1011011101	4	4	
51	o6ZtYQJm	0	71	2	9	53	170	1	10	78750	6	0	0	1	34	0	0	1	2	4	10	1	6	7	6	9	8	1000111	111	0101101000	1011011000	4	2	
52	OlEjruh5	1	41	2	5	39	145	2	4	17819	7	1	0	0	22	0	1	0	5	6	3	4	10	9	4	6	5	1111100	011	0110001111	0001111001	2	1	
53	6QD2NeAY	1	45	1	3	47	195	1	9	70006	9	0	0	0	9	1	1	1	3	5	10	10	5	5	6	8	9	0001100	011	1011001000	1000100100	1	2	
54	udo6WwX0	1	36	3	6	54	164	1	9	93667	3	0	0	1	10	1	0	0	7	2	1	5	10	3	7	10	3	1100110	110	1101011011	0011111001	6	2	
55	f6Yjsdie	1	71	2	3	46	177	3	3	91909	3	1	0	0	41	1	1	0	5	1	6	7	10	4	4	7	9	1010000	011	1100010001	1011001001	1	3	
56	5MXztyCe	1	76	1	9	11	200	1	10	95661	5	1	1	0	45	0	0	0	3	9	4	6	7	1	8	1	7	1111100	100	0110111011	0110000100	2	6	
57	Tzc3JVBX	0	34	2	12	23	141	1	1	1838	8	1	0	0	16	0	1	1	7	4	4	10	6	3	6	4	6	1001001	011	0110001011	1111100000	5	4	
58	YVhTzi6k	0	16	1	2	22	163	1	6	2255	6	1	0	1	27	1	1	0	4	3	4	5	10	6	3	7	10	0110010	001	0011111100	1110100011	3	4	
59	tGapPbOh	1	11	5	1	52	192	1	9	18828	9	1	1	1	40	1	1	0	7	10	3	10	7	5	5	6	4	1111101	010	1001111000	0111110001	3	4	
60	rW08sxET	1	50	2	6	75	152	3	1	82774	10	0	1	1	15	0	1	0	4	6	7	8	9	5	5	4	6	1111011	111	1100000001	1111001010	4	5	
61	wDA1tWxT	1	32	2	7	36	188	1	4	6677	5	0	0	1	0	0	0	0	1	8	2	10	6	8	7	5	10	1110111	100	1000100111	0011010100	6	1	
62	C8KnhHiI	0	13	2	7	31	161	1	3	57602	5	0	1	1	29	1	1	0	2	7	10	4	5	3	8	4	5	0110110	100	0101111010	0101111010	3	5	
63	GP6mXUeS	0	9	2	1	48	189	1	5	80400	1	0	1	0	36	0	0	0	9	4	3	10	3	7	6	5	9	0110001	101	0000001111	1110011110	3	1	
64	XLxonRKj	1	30	2	7	80	179	1	3	96888	3	1	1	1	10	1	0	0	4	5	10	7	4	4	10	8	9	0111010	111	0010011010	1110010110	1	2	
65	pk2GTyNm	1	10	5	10	29	184	2	5	61926	8	0	1	1	6	0	0	0	7	9	3	9	2	2	3	8	5	1100100	101	1100100111	0111001100	1	6	
66	GmMdU1Eo	0	8	5	11	49	184	3	9	56006	10	1	1	1	23	0	0	1	4	9	6	3	8	8	9	2	7	0000000	101	1111110011	0111000110	3	6	
67	2AWnerRG	1	75	2	10	57	147	1	6	26476	5	0	0	1	26	1	0	0	8	7	2	7	4	4	4	1	6	0101000	100	1101011100	1110011010	2	5	
68	TehcDJEj	1	43	4	8	20	151	1	4	56223	5	0	0	0	26	0	0	0	5	7	5	4	3	3	8	5	8	1101111	111	0101010011	1001100001	5	3	
69	KcUjwAMe	0	50	1	3	76	167	3	3	93033	9	0	0	0	8	1	0	1	7	8	9	9	1	3	5	3	1	0000000	110	0111101000	0010011001	6	2	
70	MQYyAShF	0	40	5	1	74	167	1	4	37118	10	0	1	1	33	1	1	0	6	9	9	3	7	8	7	10	10	1010010	110	1001000101	0010001101	2	1	
71	W4YAeBa5	1	53	5	6	14	183	3	1	45155	8	1	1	0	31	1	1	0	6	8	4	7	5	8	5	7	6	1111000	001	1001101110	0011110110	1	5	
72	Xc2OyoTK	0	49	4	7	72	184	1	6	14272	5	0	0	1	17	1	0	1	8	5	1	9	5	5	3	4	1	0111000	111	0110001100	0110110011	5	5	
73	Fbo1vgJO	1	79	4	10	42	163	3	3	20333	6	1	0	0	47	1	1	1	1	10	4	9	9	10	8	8	8	1010101	101	1111100010	0101110111	3	4	
74	dDufA9og	1	34	1	1	33	150	1	9	87219	8	1	1	0	5	1	0	0	4	6	3	7	3	7	5	2	8	1000000	100	1101100011	0111011011	5	4	
75	tBc60S8i	0	37	2	2	38	173	1	4	37520	10	1	1	0	6	1	0	1	9	5	2	2	1	8	10	7	10	0001110	110	0110000101	0010011101	3	3	
76	E6uOMJiV	0	10	4	10	72	165	1	1	182	2	0	1	0	17	0	1	0	5	9	9	2	1	6	3	10	5	1010111	100	1101100010	1000001110	1	3	
77	ztRDka7b	1	43	1	9	35	155	3	10	52577	7	0	0	1	37	0	0	1	4	7	6	2	5	2	8	5	9	0110010	101	1100111000	1011000001	1	3	
78	ONoQU4hp	0	31	5	5	33	183	1	6	79088	7	1	0	0	26	1	1	0	7	1	6	1	7	6	3	6	3	0000101	111	1011111010	1101000111	6	2	
79	ngmR6NAL	1	49	5	3	19	192	2	7	72612	4	0	1	1	39	1	0	1	10	3	3	7	9	7	1	7	3	1000011	000	1110110111	0000110111	3	2	
80	AbVNvH0X	0	25	1	10	26	164	2	1	21717	2	1	1	1	45	0	1	1	8	5	1	9	3	3	4	5	2	0011000	111	0001100111	0011011100	2	5	
81	DfTSA0L1	1	64	3	10	33	166	1	4	17554	2	0	0	1	28	1	1	0	6	6	6	6	5	9	5	4	4	1001110	001	1010111010	0110011110	1	2	
